ID;PAIS1;PAIS2;VENCEDOR;MODALIDADE;OLIMPIADA;DATA_HORA;LOCAL;PLACAR_PAIS1;PLACAR_PAIS2
53;Brasil;Alemanha;Brasil;8;2008;2008-08-13 15:00:00;15;9;1
54;Brasil;Alemanha;Brasil;8;2016;2016-08-06 10:00:00;10;7;6
55;Estados Unidos;China;Estados Unidos;8;2016;2016-08-06 12:00:00;10;8;5
56;Japão;França;Japão;8;2016;2016-08-06 14:00:00;10;10;0
57;Rússia;Reino Unido;Rússia;8;2016;2016-08-06 16:00:00;10;3;1
58;Austrália;Nigéria;Austrália;8;2016;2016-08-06 18:00:00;10;9;2
59;Brasil;Estados Unidos;Brasil;8;2016;2016-08-08 10:00:00;10;6;5
60;Japão;Rússia;Japão;8;2016;2016-08-08 12:00:00;10;11;10
61;Austrália;Brasil;Brasil;8;2016;2016-08-10 14:00:00;10;7;8
62;Japão;Brasil;Brasil;8;2016;2016-08-12 16:00:00;10;9;9
80;Brasil;Estados Unidos;Estados Unidos;5;2008;2008-08-10 10:00:00;15;7;8
81;China;Japão;China;5;2008;2008-08-10 12:00:00;15;4;1
82;Alemanha;França;Alemanha;5;2008;2008-08-10 14:00:00;3;11;10
83;Reino Unido;Rússia;Rússia;5;2008;2008-08-10 16:00:00;3;7;8
84;Estados Unidos;China;China;5;2008;2008-08-12 10:00:00;9;5;5
85;Alemanha;Rússia;Alemanha;5;2008;2008-08-12 12:00:00;9;8;7
86;China;Alemanha;China;5;2008;2008-08-14 15:00:00;9;2;1
401;Índia;Canadá;Índia;4;2016;2016-08-09 04:19:06;1;6;5
402;Estados Unidos;China;Estados Unidos;4;2016;2016-08-20 14:15:55;1;3;3
403;Brasil;Alemanha;Brasil;4;2016;2016-08-14 13:15:20;1;3;2
404;Rússia;Itália;Rússia;4;2016;2016-08-13 17:20:12;1;4;3
405;Índia;Estados Unidos;Índia;4;2016;2016-08-06 18:26:53;1;4;3
406;Brasil;Rússia;Brasil;4;2016;2016-08-17 17:15:32;1;10;5
407;Brasil;Índia;Índia;4;2016;2016-08-17 15:59:42;1;2;4
300;Estados Unidos;Canadá;Estados Unidos;6;2016;2016-08-05 20:59:08;1;8;7
301;França;Alemanha;França;6;2016;2016-08-09 12:41:27;1;6;3
302;Japão;Brasil;Japão;6;2016;2016-08-06 12:44:14;14;9;4
303;Reino Unido;China;Reino Unido;6;2016;2016-08-16 23:21:36;10;9;8
304;Estados Unidos;França;Estados Unidos;6;2016;2016-08-12 01:52:41;1;1;0
305;Japão;Reino Unido;Japão;6;2016;2016-08-13 12:29:26;10;4;3
306;Estados Unidos;Japão;Estados Unidos;6;2016;2016-08-15 06:23:54;1;10;3
500;França;Japão;Japão;10;2012;2012-07-30 10:00:00;6;7;8
501;Estados Unidos;Brasil;Estados Unidos;10;2012;2012-07-30 12:00:00;6;11;10
502;Canadá;Alemanha;Alemanha;10;2012;2012-07-30 14:00:00;6;7;8
503;China;Rússia;China;10;2012;2012-07-30 16:00:00;6;8;3
504;Itália;Nigéria;Nigéria;10;2012;2012-07-31 10:00:00;6;2;8
505;Argentina;Reino Unido;Reino Unido;10;2012;2012-07-31 12:00:00;6;4;10
506;Espanha;Austrália;Espanha;10;2012;2012-07-31 14:00:00;6;8;7
507;Turquia;México;México;10;2012;2012-07-31 16:00:00;6;4;6
508;Japão;Estados Unidos;Japão;10;2012;2012-08-01 10:00:00;6;5;3
509;Alemanha;China;China;10;2012;2012-08-01 12:00:00;6;7;8
510;Nigéria;Reino Unido;Reino Unido;10;2012;2012-08-01 14:00:00;6;1;4
511;Espanha;México;México;10;2012;2012-08-01 16:00:00;6;10;11
512;Japão;China;Japão;10;2012;2012-08-02 10:00:00;6;4;2
513;Reino Unido;México;Reino Unido;10;2012;2012-08-02 12:00:00;6;6;5
514;Japão;Reino Unido;Japão;10;2012;2012-08-03 10:00:00;6;8;3
515;Japão;Estados Unidos;Japão;10;2020;2021-07-30 11:57:40;5;9;8
516;Brasil;França;França;10;2020;2021-07-24 08:12:10;5;6;7
517;Alemanha;China;China;10;2020;2021-07-23 00:33:06;5;3;8
518;Rússia;Canadá;Rússia;10;2020;2021-07-27 09:27:50;5;8;8
519;Indonésia;Itália;Indonésia;10;2020;2021-08-01 08:35:38;5;8;4
520;Argentina;Reino Unido;Reino Unido;10;2020;2021-08-03 11:06:53;5;2;8
521;Espanha;Austrália;Espanha;10;2020;2021-07-29 16:21:46;5;8;7
522;Turquia;México;México;10;2020;2021-07-23 07:57:35;5;9;10
523;Japão;França;Japão;10;2020;2021-07-31 05:10:06;5;8;7
524;China;Rússia;China;10;2020;2021-07-23 08:02:52;5;9;8
525;Indonésia;Reino Unido;Reino Unido;10;2020;2021-08-07 21:11:40;5;3;5
526;Espanha;México;México;10;2020;2021-07-31 19:09:15;5;7;9
527;Japão;China;Japão;10;2020;2021-08-02 17:56:26;5;8;1
528;Reino Unido;México;Reino Unido;10;2020;2021-08-05 22:25:08;5;6;5
529;Japão;Reino Unido;Japão;10;2020;2021-07-31 12:52:14;5;6;5
100;Rússia;Brasil;Rússia;1;2016;2016-08-18 11:22:28;1;8;4
101;Rússia;Estados Unidos;Rússia;1;2016;2016-08-11 17:46:01;1;10;9
102;Rússia;China;Rússia;1;2016;2016-08-09 08:15:56;1;7;6
103;Rússia;Japão;Rússia;1;2016;2016-08-09 01:33:03;1;10;9
104;Rússia;França;Rússia;2;2016;2016-08-06 13:35:09;1;4;2
105;Rússia;Alemanha;Rússia;2;2016;2016-08-12 03:17:12;1;9;8
106;Rússia;Reino Unido;Rússia;3;2016;2016-08-16 21:54:53;1;5;4
107;Rússia;Brasil;Rússia;3;2016;2016-08-11 08:51:35;1;0;0
108;Rússia;China;Rússia;4;2016;2016-08-12 13:09:14;1;11;10
109;Rússia;Estados Unidos;Rússia;4;2016;2016-08-06 06:30:38;1;6;5
110;Rússia;Japão;Rússia;5;2016;2016-08-05 10:00:00;1;10;5
111;Rússia;França;Rússia;5;2016;2016-08-05 12:00:00;1;5;4
112;Rússia;Alemanha;Rússia;5;2016;2016-08-05 14:00:00;1;5;4
113;Rússia;Brasil;Rússia;5;2016;2016-08-05 16:00:00;1;9;3
114;Rússia;Japão;Rússia;6;2016;2016-08-13 16:00:00;1;9;7
115;Rússia;Estados Unidos;Rússia;5;2016;2016-08-14 16:00:00;1;7;6
116;Rússia;China;Rússia;5;2016;2016-08-15 16:00:00;1;10;9
117;Rússia;França;Rússia;6;2016;2016-08-16 16:00:00;1;6;5
118;Rússia;Alemanha;Rússia;6;2016;2016-08-17 16:00:00;1;6;5
119;Rússia;Reino Unido;Rússia;6;2016;2016-08-18 16:00:00;1;7;4
120;Rússia;Brasil;Rússia;7;2016;2016-08-19 16:00:00;1;11;10
901;Brasil;Alemanha;Brasil;7;2008;2008-08-10 10:00:00;9;5;1
902;China;Japão;China;7;2008;2008-08-10 12:00:00;3;5;4
903;França;Reino Unido;Reino Unido;7;2008;2008-08-10 14:00:00;15;6;7
904;Estados Unidos;Rússia;Rússia;7;2008;2008-08-10 16:00:00;15;9;10
905;Brasil;China;Brasil;7;2008;2008-08-12 10:00:00;15;6;6
906;Rússia;Reino Unido;Rússia;7;2008;2008-08-12 12:00:00;15;10;5
907;Brasil;Rússia;Brasil;7;2008;2008-08-14 15:00:00;3;10;0
200;Brasil;Estados Unidos;Brasil;3;2024;2024-08-10 10:00:00;11;11;10
201;China;Japão;China;3;2024;2024-08-10 12:00:00;11;3;2
202;Alemanha;França;Alemanha;3;2024;2024-08-10 14:00:00;11;3;1
203;Reino Unido;Rússia;Reino Unido;3;2024;2024-08-10 16:00:00;11;7;6
204;Brasil;China;Brasil;3;2024;2024-08-07 08:20:53;11;3;2
205;Alemanha;Reino Unido;Alemanha;3;2024;2024-08-01 21:54:57;11;6;5
206;Brasil;Alemanha;Brasil;3;2024;2024-07-28 02:40:40;11;9;7
207;Brasil;Alemanha;Brasil;6;2024;2024-08-03 23:56:12;11;4;2
208;Estados Unidos;China;Estados Unidos;6;2024;2024-07-29 13:37:12;11;9;7
209;Japão;França;Japão;6;2024;2024-07-26 04:02:36;11;6;2
210;Rússia;Reino Unido;Rússia;6;2024;2024-07-28 18:39:19;11;9;6
211;Austrália;Nigéria;Austrália;6;2024;2024-08-09 18:07:48;11;8;1
212;Brasil;Estados Unidos;Brasil;6;2024;2024-08-06 12:26:58;11;6;5
213;Japão;Rússia;Japão;6;2024;2024-07-27 13:06:36;11;10;9
214;Austrália;Brasil;Brasil;6;2024;2024-08-01 00:57:28;11;2;3
215;Japão;Brasil;Brasil;6;2024;2024-08-06 02:41:52;11;6;9
216;Brasil;Alemanha;Brasil;11;2024;2024-08-05 18:16:02;11;8;4
217;Estados Unidos;China;Estados Unidos;11;2024;2024-07-27 09:19:14;11;8;8
218;Japão;França;Japão;11;2024;2024-08-10 07:35:52;11;6;2
381;Brasil;Argentina;Brasil;11;2024;2024-08-09 19:23:53;11;10;6
382;Canadá;México;Canadá;11;2024;2024-07-30 01:30:45;11;9;8
383;Itália;Espanha;Itália;11;2024;2024-08-03 09:25:10;11;7;1
384;Portugal;Jamaica;Portugal;11;2024;2024-07-30 07:11:46;11;11;10
385;Suíça;Noruega;Suíça;11;2024;2024-08-01 15:45:21;11;9;8
386;Dinamarca;Finlândia;Dinamarca;11;2024;2024-08-05 07:19:07;11;7;3
387;Suíça;Jamaica;Suíça;11;2024;2024-08-05 04:38:00;11;9;8
389;Grécia;Turquia;Grécia;11;2024;2024-07-29 09:45:43;11;9;8
390;Egito;Suíça;Egito;11;2024;2024-07-31 05:15:04;11;2;2
393;Rússia;Reino Unido;Rússia;11;2024;2024-08-03 14:14:29;11;5;0
